id,pr
25,4.63923358581e-06
3978,0.000131053637799
28817,1.12646554985e-05
84270,0.000864136358973
235698,0.000696044678526
321935,9.41227299821e-06
367381,1.68462321413e-05
416467,0.00173460355419
421316,5.922609956e-06
444036,0.000971248420733
26,4.64236107698e-06
68939,1.09453559617e-05
30,5.80557208525e-06
116,2.43227749028e-05
38,8.33245065563e-06
985,1.56495619468e-05
2147,0.000404315334227
4279,0.00218172759496
13724,8.70746964707e-05
18157,3.89963805678e-05
20267,9.91481807612e-06
41613,1.62095884175e-05
42188,5.95042468637e-05
46690,0.000104945786644
74939,0.000236891820081
81179,0.000327373158687
104427,7.04350273886e-05
164602,0.000128476229874
174728,0.00228545850126
198633,0.000313920806
210102,8.57467208617e-06
279627,0.00508107432031
282912,0.000291434641573
309917,3.53514354148e-05
322806,0.000362534125021
379311,9.9440356098e-05
418267,7.43808701722e-05
420357,1.93848605831e-05
438838,5.76772134398e-05
446649,4.85606282404e-05
541842,5.82812925562e-05
565635,0.000449987985962
641766,0.00298649294389
711085,0.000221040405392
714208,0.000244288586144
1285246,4.61531972796e-06
48,4.46134477284e-06
20330,1.82099763986e-05
100297,0.0107025469288
50,6.70745169023e-06
7586,1.88938162464e-05
9683,1.1602316305e-05
15154,0.000124806951972
16035,9.08689620484e-06
20840,5.5353915757e-05
29371,6.07776914206e-06
45163,4.84812509202e-06
64941,8.54636023476e-06
119647,5.0315013249e-06
59,5.24161368738e-06
77,6.42872680857e-06
758,7.92706113758e-06
20832,5.16484927047e-06
61,5.03127586878e-06
488,4.55566826897e-06
3171,0.00033096572466
6063,9.26515496917e-06
9567,0.000544113332523
12213,4.65961343922e-06
14028,4.72262963294e-05
17917,2.09973481714e-05
18745,0.000212612169515
18771,9.23957777277e-05
18834,4.49869621365e-06
18893,5.20888821136e-06
20789,0.000263498716484
54982,1.07206012323e-05
73681,5.2540364269e-05
75170,0.000142462976096
129967,4.53604765446e-06
142039,8.86181532315e-06
166949,0.000501751074339
738365,4.48002049324e-06
64,7.99436025936e-06
14343,0.00373836428201
20862,0.00778531460807
35678,9.63883874762e-06
72,5.51911852249e-06
654031,0.000386151025883
2823,5.1549724089e-06
6967,4.70385974195e-06
11339,4.63211404726e-06
18811,5.17386725212e-06
22459,0.000138885687397
28835,3.65970981128e-05
35886,4.7026428492e-06
36175,4.63211404726e-06
46643,4.80288332167e-06
51941,4.63211404726e-06
67393,9.57290779962e-05
78254,4.63211404726e-06
88313,6.16903751703e-06
93380,1.06140924399e-05
96242,4.80288332167e-06
100322,7.69795436424e-06
102481,4.63211404726e-06
102580,4.63211404726e-06
103017,4.71344016938e-06
181966,4.63211404726e-06
2688298,4.63211404726e-06
79,4.46134477284e-06
1199,0.000135767878057
57757,0.000780296606377
172854,4.59363334612e-06
813665,4.54953715502e-06
85,3.5079562655e-05
6760,5.19644315721e-05
9822,7.80919551225e-06
10661,0.00290797144506
13055,2.3401298307e-05
16363,0.000188676109579
27462,1.75305490107e-05
29057,1.72037554843e-05
48500,1.96794649312e-05
50773,9.64573212493e-06
60950,0.000115000328951
122033,1.18536900887e-05
129805,6.9352257338e-06
174129,9.08075456733e-06
183995,4.73304838656e-06
192210,4.88651544526e-06
199107,4.80097428999e-06
205114,0.000117808901751
271376,7.07724253806e-06
442945,4.52927067627e-06
475128,4.52927067627e-06
705238,4.86890019342e-06
1196900,5.53851739483e-05
1256386,2.27442165649e-05
1804633,4.52927067627e-06
1935049,4.52927067627e-06
86,7.75908763212e-06
54283,3.09039657424e-05
272323,6.977336325e-06
91,5.31546018591e-06
3571,0.000426152667499
6034,5.04522771003e-06
6521,1.52143377127e-05
41661,4.09335487633e-05
77156,9.7082488147e-06
108445,3.60614362888e-05
118861,8.07946709052e-06
120901,6.93514539311e-06
92,5.56675096323e-06
99,7.28730980747e-06
100,5.55753966987e-06
269,5.10629523926e-06
278,4.47047973031e-06
340,4.47961468779e-06
381,4.47047973031e-06
423,4.47961468779e-06
430,4.52989525901e-06
486,4.52528947516e-06
492,4.47961468779e-06
574,4.50701956021e-06
622,4.47047973031e-06
781,4.49788460274e-06
791,4.68206482057e-06
837,4.47047973031e-06
958,4.47047973031e-06
986,4.47047973031e-06
1043,5.63501961298e-06
1167,4.47047973031e-06
1518,4.47047973031e-06
1531,1.57372136219e-05
1633,5.22791713632e-06
1942,8.77699774464e-06
2131,4.56182930506e-06
2188,4.71712358214e-06
2482,5.54990296791e-06
2543,4.63446379828e-06
2908,4.4285423323e-05
3119,3.07414403114e-05
3525,5.82759570229e-06
4020,4.49690671591e-06
5247,4.47047973031e-06
5479,4.47047973031e-06
6314,4.47047973031e-06
18770,0.000599741678963
61342,5.45826563851e-06
62130,8.08940073661e-06
76701,1.65556800724e-05
94379,5.84129230467e-06
132931,4.47047973031e-06
144121,4.53422866534e-06
307293,1.56585417499e-05
318955,4.47047973031e-06
407138,4.47047973031e-06
442158,7.76958632505e-06
530098,8.24028485157e-06
1384652,1.08938893773e-05
2089740,7.06892595706e-06
96,6.2693988428e-06
5042,4.51685708949e-06
10289,7.20282871157e-06
10708,1.03080087784e-05
12030,0.00394104969766
130929,0.00041055677491
278681,5.68396405851e-06
104,4.46134477284e-06
2168,1.5364661093e-05
118903,0.000797124140241
350106,1.10201550342e-05
111,4.67310535272e-06
147,9.8423334181e-06
154,5.12845193209e-06
188,0.000179288829073
1055,4.53227831052e-06
9510,6.77130913564e-06
11072,4.74507892358e-06
21106,5.6938369992e-06
27642,8.3491405315e-06
232485,7.00923816063e-06
407027,7.03851150124e-06
1527852,1.29200475484e-05
112,8.44592515174e-06
147129,5.41731912109e-05
907869,8.76895928687e-06
115,7.02354787348e-06
394,0.000113454319041
893,0.000919160697563
995,2.04436730554e-05
2697,4.94446920397e-06
2827,3.22947728376e-05
3002,0.000235184240387
3050,4.96843048917e-06
3853,7.41779115294e-06
3937,1.53382748682e-05
4050,4.48947972507e-06
4110,4.48947972507e-06
4172,6.51242112859e-05
4960,8.15957907273e-06
4977,2.26471562191e-05
5053,4.48385273462e-06
5114,4.47259875373e-06
5190,0.00187733522804
6491,0.000205908263151
6848,0.000135553943918
6899,0.00053028130011
8206,0.000749996177742
8446,4.47822574418e-06
9083,7.43978211933e-06
9611,3.16407951806e-05
12458,4.53449564864e-06
13498,4.84622374142e-05
14032,5.05407080032e-06
15055,0.000278263336793
15625,4.52553767635e-05
16113,8.59856489086e-06
17160,0.00189091027629
18044,1.10169370108e-05
18382,3.71533814941e-05
21776,7.71293542865e-05
21945,0.0001839533426
22035,2.24076452956e-05
24817,4.47822574418e-06
28258,3.48281242705e-05
29703,5.558134364e-06
30289,3.80183367399e-05
33006,0.00344911412476
34747,5.39234665006e-06
35070,0.00133551742848
35092,8.26872666717e-05
38426,8.2226284577e-06
51292,5.3378108771e-06
109696,6.13664489225e-06
131264,1.92166409016e-05
163410,4.48385273462e-06
175637,4.57388458177e-06
178882,4.47259875373e-06
231717,4.67686909703e-06
240954,4.48385273462e-06
244843,4.62770132764e-06
288183,6.24568755476e-06
322020,9.5601210731e-06
376587,3.28272065513e-05
414524,5.91498896507e-06
422242,4.46697176328e-06
592851,5.73262810843e-05
609215,4.89880487982e-06
661571,4.47259875373e-06
720691,4.99946081279e-06
795536,4.48385273462e-06
869482,1.07749179017e-05
944717,5.98257717262e-06
1450678,4.46697176328e-06
1633148,4.46697176328e-06
1756531,4.47822574418e-06
1941213,5.83597016413e-05
156,1.4699267049e-05
216,5.31113372191e-06
618,1.41333023376e-05
699,5.60829367171e-06
1416,5.13655236518e-06
1421,1.81552598116e-05
1448,1.55947771091e-05
1626,2.10948701062e-05
1694,0.000647768922629
1709,6.71481087028e-06
2132,1.53136470751e-05
2140,3.20588971082e-05
3051,6.67357416111e-05
3102,4.55061682951e-06
3458,1.25189328293e-05
3594,0.000670453619263
4059,9.92497290812e-06
6421,6.37533540121e-06
9530,0.000355066034425
12855,0.0014949071555
15685,1.17484553074e-05
15842,2.16226773179e-05
18936,0.00167234828763
19556,0.000527329936922
20037,4.58632565218e-06
20578,4.77415136342e-05
22595,8.20061377378e-05
25198,4.78272417687e-06
37020,0.000648487117333
37181,4.83334744651e-05
38207,1.28783157694e-05
39301,4.62203447485e-06
42346,0.000432412882177
43089,0.000307909056096
45226,1.46789127862e-05
50013,7.27234057333e-06
53850,4.92131251323e-05
54017,0.000316277074557
92493,9.43378402988e-05
95612,0.00757368936841
95810,0.0106723671523
97828,0.00113681566576
99451,4.56998191155e-06
99834,4.36931989185e-05
102441,0.00046805707571
105459,6.8363195329e-05
108465,7.25948364919e-06
120971,4.13521774932e-05
122294,4.53276241818e-06
124355,1.06325123952e-05
142434,7.36153601405e-06
164546,1.29011395892e-05
171461,0.000171147095431
188197,7.35433974047e-06
192993,5.32303414715e-06
223265,1.3302469133e-05
226621,0.000285695416965
234053,0.000142178426531
239247,7.77193330752e-05
269168,9.15504367513e-06
274299,4.48276469087e-06
283102,4.81184607215e-06
300886,5.22594660348e-05
309308,8.11516259723e-05
322909,0.000109627360828
364306,4.55182689451e-06
385481,4.8005785882e-06
432509,1.59366448534e-05
502519,4.00411232689e-05
872535,6.7945829799e-06
969654,4.47919918417e-06
986889,4.47919918417e-06
1326993,4.85842642758e-06
1368589,2.19859782704e-05
121,5.16066351101e-06
363,1.08731414485e-05
1447,3.55391511971e-05
9261,2.20938181494e-05
25450,6.68854757732e-05
27024,0.000157078715546
35306,5.03824758799e-06
35364,5.11582838075e-05
39975,5.45176257157e-05
70170,0.000143064890117
137317,0.000504095870359
553995,0.000105777204481
1060339,6.85001835412e-06
1609832,4.54921438782e-06
